"text","quotes","is.retweet","external.link","pictures","videos","gifs","multimedial_content","user.image","user.bio","user.website","user.tweets","user.following","user.media","engagement.rate","n_hashtags"
"Fried Chicken with Hot 🔥 Sauce Corn Muffin and Seasoned Fries 🍟  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-5.15787662241051,8
"#Morel #mushrooms at center of #food #poisoning #outbreak ...   | #fungi | #publichealth | #safety | #toxins | #Illness | By @keelyinezlarson via @CBSNews https://www.cbsnews.com/news/morel-mushrooms-food-poisoning-outbreak-montana/",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,50098,513,1962,-7.47022413589997,10
"My Blog::  Obama Legacy Facing REVISIT ... Ianrmackintosh-blogsite.com #family #joy #cancer #china #ukraine #biden #hunter #trump #sealife #food #fun",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5174,9022,0,-8.67658724356649,11
"Craving sushi but tired of expensive takeout? Look no further! Kellyloves Sushi Kit is here to revolutionize your culinary adventures. 🍣 🤩   https://boxnip.co.uk/sushi-kit-by-kelly-loves-a-fun-easy-way-to-make-delicious-sushi-at-home/ #sushi #food #kellyloves #sushidaily #blogdreamRT @BloggersHut #sushikit",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,108071,678,49647,-8.70880479511728,6
"Potato Pancakes should not be a rare side dish, but planned leftovers for each time you make mashed potatoes! Serve family style and save half for these yummy treats! healthy-diet-habits.com/pota… #Potato #Potatoes #PotatoPancakes #SideDish #Leftovers #MashedPotatoes #Recipe #Food",0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,28081,2343,18032,-8.35161075062656,8
"#oshkosh #oshkoshwi #wisconsin #oshkoshbar #barlife #onlyinoshkosh #downtownoshkosh #drinkwisconsibly #visitoshkosh #drinks #food #herdup #wisconsinherd #beer #sportsbar #loveoshkosh #oshkosharena #uwoshkosh #discoverwisconsin #viral #foxcitieswi #fyp #foryourpage",0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,507,5003,498,-5.8664680569333,23
"Do you love a Jaffa cake? Come along this Saturday to the Goat’s Gate Christmas market and treat yourself to a Jaffa cake brownie bite. #jaffacakes #orangmarmalade #darkchocolate #christmasmarket #christmastreats #brownies #browniebites #tastytreats #moreish #homebaking #food",0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1408,22,1081,-2.59026716544583,11
"↑主ポストもご覧ください😋  チーズを飲んでる感じがたまらない😆  #晩ごはん #クリームシチュー #飯テロ #food",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4775,1519,2458,-3.60650845668081,4
"[Homemade] Smoked Pastrami homecookingvsfastfood.com #homecooking #food #recipes #foodie #foodlover #cooking #homecookingvsfastfood",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-6.12840712322166,7
"お弁当日記 今日は【 #おいなりさん弁当 🧸】  中身はひじきと枝豆！ 卵焼きが上手に出来て幸せです。  ○内容  ・おいなりさん ・卵焼き ・ポテトサラダ ・ブロッコリー ・トマト  #お弁当 #タッパー弁当 #弁当日記 #おいなりさん #foodie #obentou #food",0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,19,8,10,0.693147180559945,8
"Chocolate Chip Cookies homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-6.2502969408307,8
"🍳🍹Easy Set Up for Afternoon Tea at Home  ▶︎▶︎ Watch full: https://www.ganjingworld.com/video/1f8jc060kr85tYZgdKhBG2Yns1vb1c?utm_source=NTDdigital&utm_medium=Twitter&utm_campaign=PaidAds-2023&utm_term=tw&utm_content=GJWExclusiveEngagement #GanJingWorld #GJW #food #foodie #foodlover #drinks #tea #afternoontea #recipe #tasty",20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2152,221,34,-1.17935949112306,10
"Korean Barbecue!!! Itadakimasu!!! #koreanfood #やきにく #food",0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1571,5025,1022,-6.74229083925461,3
"Cheesy Mac and Cheese 🧀  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-6.55040153328104,8
"#food #health #farm #farming",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,90956,1086,5225,-5.90672331865289,4
"How long is it taking you to finish both 🤤?  #food #foodies #hungry #delicious #burgers",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,840,3039,468,-4.04655389838575,5
"Tater Tots homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-4.44932081649772,8
"🍹Get a copy for yourself, family & friends. Tasty gift for any time of year. Lovely illustrations by @JaneCornwell10. Recipes by @GabrielConstans. #smoothie #drinks #health #recipes #food #recipe #drink #healthy Available worldwide @amazon. In US at: https://tinyurl.com/2bejdyvv",0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,543917,36188,5387,-5.1532370614371,8
"Limited tickets remaining at R150. Be sure to snatch yours and join us for an awesome day filled with nothing but good food, good vibes and good music  Secure your ticket by hitting the link - https://qkt.io/nnRT0M  No Door Sales!  #Market #food #Drinks #Vibes #Music",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,19476,1900,725,-5.73149028145949,5
"Fried Chicken Wings 🍗 with Blue Cheese   homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-5.33400620895654,8
"A tale of #food prices in #Ontario: can you buy yourself privilege 👀 of lower prices where you live? Costco: 18 XL eggs $5.49 Metro: $6.49 Milk: Costco 4litres $5.59 Walmart: $5.89. FYI whole wheat bread $1.56/loaf at Costco ⬇️ More comparisons⬇️Food is not a luxury @fordnation",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,166786,795,0,-5.51090540392273,2
"Garlic Cheesy 🧀 Bread 🍞 homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-4.07176449650663,8
"#India ordered 2.5 #Biryanis per second in 2023. Every 6th #Biryani was ordered from #Hyderabad 🫶  @Swiggy #Food #Trends 2023  📸: @Z9Habib",3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,263149,1268,19726,-6.04909652495429,6
"Chicken Tenders with Ranch Dressing  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-4.30703579994696,8
"[homemade] Chicken Noodle Soup homecookingvsfastfood.com #homecooking #food #recipes #foodie #foodlover #cooking #homecookingvsfastfood",1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-5.97660111035366,7
"Christmas: Mince Pies #Christmas #holidays #Food #Traditions #Customs https://books2read.com/suziloveHOCP https://www.suzilove.com/?p=33250 via @SuziLove",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,150781,2689,5111,-5.71749751583817,5
"Bacon 🥓 Sausage Scrambled Eggs Potatoes and Biscuit homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-4.06758038998406,8
"Cheesy Mac and Cheese 🧀  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics",0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,16213,549,15698,-7.67433162993344,8
